Type,Date,Time,Latitude,Longitude,ParsedDate,ParsedTime,Datetime,hour,day_of_week,day_of_month,month,quarter,is_weekend,is_morning,is_afternoon,is_evening,is_night,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,lat_grid,lon_grid,crime_density,distance_to_center,crime_type_encoded,crime_severity,time_weighted_severity,historical_crime_count,is_high_risk,historical_high_risk_count,historical_avg_severity,risk_score,baseline_risk_score,neighborhood_cluster,night_time_risk,location_density_risk,hour_density,weekend_night,dist_to_center_density,lat_squared,lon_squared,lat_lon_prod
Attempted Murder,2/1/2015,13:15:00,12.885536,77.542507,2015-01-02 00:00:00,13:15:00,2015-01-02 13:15:00,13,4,2,1,1,0,0,1,0,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.88,77.54,69,11.11106710413501,3,2.0,2.0,0,0,0.0,2.869565217391304,8.496990484098719,2.0975609756,0,0.0,0.0,897,0,766.6636301853157,166.037038007296,6012.840391845049,999.176765478752
Ordinary Theft,02/01/2015,19:00,12.926291,77.547338,2015-01-02 00:00:00,19:00:00,2015-01-02 19:00:00,19,4,2,1,1,0,0,0,1,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.92,77.54,158,7.184294849114452,7,2.0,2.4,0,0,0.0,2.9683544303797467,12.165370085328556,2.3469387755,0,0.0,0.0,3002,0,1135.1185861600834,167.08899901668102,6013.589630886244,1002.399457263358
Murder,2/1/2015,21:00,12.8966729945995,77.5607513795297,2015-01-02 00:00:00,21:00:00,2015-01-02 21:00:00,21,4,2,1,1,0,0,0,1,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.89,77.56,173,9.103315989734341,6,10.0,12.0,0,1,0.0,3.3179190751445087,61.90866359057435,2.5303030303,0,0.0,0.0,3633,0,1574.873666224041,166.32417432963203,6015.670154557219,1000.2756477572267
2 wheeler theft,3/1/2015,1:15:00 PM,12.9155368,77.5558355,2015-01-03 00:00:00,01:15:00,2015-01-03 01:15:00,1,5,3,1,1,1,0,0,0,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.91,77.55,101,7.517283487331724,0,2.0,3.0,0,0,0.0,3.0,13.874918439852813,2.5,0,3.0,0.0,101,1,759.2456322205041,166.81109083215424,6014.90762010306,1001.6752474549965
2 wheeler theft,3/1/2015,8:00:00 PM,12.915668,77.589662,2015-01-03 00:00:00,08:00:00,2015-01-03 08:00:00,8,5,3,1,1,1,1,0,0,0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.91,77.58,234,6.242334100082822,0,2.0,1.6,0,0,0.0,2.786324786324786,8.735336822630655,2.3285714286,0,0.0,0.0,1872,0,1460.7061794193803,166.814479886224,6020.155649274245,1002.1223146242161
2 wheeler theft,3/1/2015,8:00:00 PM,12.89047086,77.57081006,2015-01-03 00:00:00,08:00:00,2015-01-03 08:00:00,8,5,3,1,1,1,1,0,0,0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.89,77.57000000000001,104,9.382346338245986,0,2.0,1.6,0,0,0.0,3.355769230769231,7.446336560252037,2.4764097241473597,0,0.0,0.0,832,0,975.7640191775826,166.16423899250915,6017.230573364597,999.9242666650249
2 wheeler theft,3/1/2015,20:30 PM,12.921348,77.546131,2015-01-03 00:00:00,20:30:00,2015-01-03 20:30:00,20,5,3,1,1,1,0,0,1,0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.92,77.54,158,7.668894739808678,0,2.0,2.4,1,0,0.0,2.4841772151898733,12.165370085328556,2.3469387755,0,0.0,0.0,3160,0,1211.685368889771,166.96123413710401,6013.402433069162,1002.000544704588
2 wheeler theft,4/1/2015,5:30:00 PM,12.926896,77.5896545,2015-01-04 00:00:00,05:30:00,2015-01-04 05:30:00,5,6,4,1,1,1,0,0,0,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,12.92,77.58,291,4.999664967226867,0,2.0,3.0,1,0,0.0,2.3419243986254292,17.030261406804847,1.9756944444,0,2.3419243986254292,0.0,1455,1,1454.9025054630183,167.10464019481597,6020.15448542937,1002.9933943974319
2 wheeler theft,4/1/2015,10:30:00 AM,12.36285,77.32354,2015-01-04 00:00:00,10:30:00,2015-01-04 10:30:00,10,6,4,1,1,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,12.36,77.32000000000001,1,73.80162168061115,0,2.0,1.6,0,0,0.0,2.0,1.1090354888959124,2.4764097241473597,0,0.0,0.0,10,0,73.80162168061115,152.8400601225,5978.929838131599,955.9393264889999
2 wheeler theft,4/1/2015,11:10:00 AM,12.92612,77.575115,2015-01-04 00:00:00,11:10:00,2015-01-04 11:10:00,11,6,4,1,1,1,1,0,0,0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,12.92,77.57000000000001,108,5.480265049383567,0,2.0,1.6,0,0,0.0,2.425925925925926,7.50615661156663,2.4764097241473597,0,0.0,0.0,1188,0,591.8686253334253,167.0845782544,6017.898467263224,1002.7452455037999
Ordinary Theft,04/01/15,13:45,12.95126643,77.57743932,2015-01-04 00:00:00,13:45:00,2015-01-04 13:45:00,13,6,4,1,1,1,0,1,0,0,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,12.950000000000001,77.57000000000001,276,2.9274643837209826,7,2.0,2.0,0,0,0.0,2.9094202898550723,11.248035012374677,2.4764097241473597,0,0.0,0.0,3588,0,807.9801699069913,167.73530214084496,6018.259091448282,1004.726085590478
Attempted Murder,4/1/2015,15:15,12.9394,77.5543,2015-01-04 00:00:00,15:15:00,2015-01-04 15:15:00,15,6,4,1,1,1,0,1,0,0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,12.93,77.55,157,5.6472336035389015,3,2.0,2.0,1,0,0.0,2.550955414012739,10.125190066053934,2.1973684211,0,0.0,0.0,2355,0,886.6156757556075,167.42807236,6014.66944849,1003.5061094199999
2 wheeler theft,5/1/2015,7:45:00 PM,12.9184,77.58268,2015-01-05 00:00:00,07:45:00,2015-01-05 07:45:00,7,0,5,1,1,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,12.91,77.58,234,6.054965603418878,0,2.0,1.6,1,0,0.0,2.393162393162393,8.735336822630655,2.3285714286,0,0.0,0.0,1638,0,1416.8619512000173,166.88505856,6019.072235982399,1002.2440933119999
2 wheeler theft,5/1/2015,10:30:00 AM,12.89964065,77.54399956,2015-01-05 00:00:00,10:30:00,2015-01-05 10:30:00,10,0,5,1,1,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387,12.89,77.54,52,9.70028136133276,0,2.0,1.6,0,0,0.0,3.8076923076923075,6.352467061683395,2.6142857143,0,0.0,0.0,520,0,504.4146307893035,166.40072889913242,6013.07186776128,1000.2897288877582
Ordinary Theft,05/01/15,11:30,12.963508,77.57371142,2015-01-05 00:00:00,11:30:00,2015-01-05 11:30:00,11,0,5,1,1,0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,0.49999999999999994,0.8660254037844387,12.96,77.57000000000001,72,2.435757017618844,7,2.0,1.6,0,0,0.0,2.8472222222222223,6.8647351058374255,2.4764097241473597,0,0.0,0.0,792,0,175.37450526855676,168.05253966606398,6017.6807034734375,1005.6274285828613
Ordinary Theft,05/01/15,12:30,12.9512664,77.5774393,2015-01-05 00:00:00,12:30:00,2015-01-05 12:30:00,12,0,5,1,1,0,0,1,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,12.950000000000001,77.57000000000001,276,2.9274683368480514,7,2.0,2.0,1,0,0.0,2.454710144927536,11.248035012374677,2.4764097241473597,0,0.0,0.0,3312,0,807.9812609700622,167.73530136376894,6018.259088345184,1004.7260830041295
4 Wheeler Theft,05/01/2015,18:40,12.92043,77.5819,2015-01-05 00:00:00,18:40:00,2015-01-05 18:40:00,18,0,5,1,1,0,0,0,1,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.49999999999999994,0.8660254037844387,12.92,77.58,291,5.85392830349119,1,2.0,2.4,2,0,0.0,2.2279495990836193,13.624209125443876,1.9756944444,0,0.0,0.0,5238,0,1703.4931363159365,166.93751138489998,6018.951207610001,1002.391508217
2 wheeler theft,6/1/2015,7:45:00 PM,12.923665,77.589668,2015-01-06 00:00:00,07:45:00,2015-01-06 07:45:00,7,1,6,1,1,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,12.92,77.58,291,5.356858351415083,0,2.0,1.6,3,0,0.0,2.1709621993127146,9.08280608362925,1.9756944444,0,0.0,0.0,2037,0,1558.845780261789,167.021117032225,6020.156580350224,1002.7428766932201
Assault,06/01/2015,10:00,12.88259022,77.55804118,2015-01-06 00:00:00,10:00:00,2015-01-06 10:00:00,10,1,6,1,1,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,12.88,77.55,56,10.661035478264797,2,6.0,4.800000000000001,0,0,0.0,3.4107142857142856,19.406646085605843,2.2878787879,0,0.0,0.0,560,0,597.0179867828286,165.96113077643966,6015.249751678576,999.1484627878253
Ordinary Theft,6/1/2015,15:00,12.92885,77.5785,2015-01-06 00:00:00,15:00:00,2015-01-06 15:00:00,15,1,6,1,1,0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,12.92,77.57000000000001,108,5.063649246142571,7,2.0,2.0,1,0,0.0,2.212962962962963,9.382695764458287,2.4764097241473597,0,0.0,0.0,1620,0,546.8741185833977,167.15516232250002,6018.423662250001,1003.0007897250001
Chain Snatching,6/1/2015,15:30,12.9486433,77.57586657,2015-01-06 00:00:00,15:30:00,2015-01-06 15:30:00,15,1,6,1,1,0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,12.94,77.57000000000001,121,3.2614435164602544,4,2.0,2.0,0,0,0.0,3.7520661157024793,9.608042089466514,2.4764097241473597,0,0.0,0.0,1815,0,394.6346654916908,167.6673633106349,6018.015074086444,1004.5022249033245
Kidnap,6/1/2015,17:00,12.8928133912158,77.5666300513369,2015-01-06 00:00:00,17:00:00,2015-01-06 17:00:00,17,1,6,1,1,0,0,1,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,12.89,77.56,173,9.270259607280016,5,2.0,2.0,1,0,1.0,6.658959537572255,10.318110598429058,2.5303030303,0,0.0,173.0,2941,0,1603.7549120594426,166.22463714071344,6016.582097520961,1000.0520866373582
Murder,7/1/2015,6:00 AM,12.9076508,77.5951967,2015-01-07 00:00:00,06:00:00,2015-01-07 06:00:00,6,2,7,1,1,0,1,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,12.9,77.59,76,7.111120626157318,6,10.0,8.0,0,1,0.0,2.973684210526316,34.75044337482947,2.24,0,0.0,0.0,456,0,540.4451675879561,166.60744917474065,6021.014550911691,1001.5717027609124
2 wheeler theft,7/1/2015,7:15:00 PM,12.91699,77.58934,2015-01-07 00:00:00,07:15:00,2015-01-07 07:15:00,7,2,7,1,1,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,12.91,77.58,234,6.099050750966423,0,2.0,1.6,2,0,0.0,2.262108262108262,8.735336822630655,2.3285714286,0,0.0,0.0,1638,0,1427.1778757261432,166.8486306601,6020.105681635601,1002.2207288866001
Assault,07/01/2015,13:30,12.943049,77.593932,2015-01-07 00:00:00,13:30:00,2015-01-07 13:30:00,13,2,7,1,1,0,0,1,0,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,12.94,77.59,182,3.1755514896102706,2,6.0,6.0,0,1,0.0,3.9065934065934065,31.256916917048528,2.7692307692,0,0.0,0.0,2366,0,577.9503711090692,167.522517416401,6020.818283220623,1004.302063978668
Assault,07/01/2015,17:00,12.944431,77.592409,2015-01-07 00:00:00,17:00:00,2015-01-07 17:00:00,17,2,7,1,1,0,0,1,0,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,12.94,77.59,182,3.0303701492618216,2,6.0,6.0,1,1,1.0,4.9532967032967035,31.256916917048528,2.7692307692,0,0.0,182.0,3094,0,551.5273671656515,167.558293913761,6020.581934423281,1004.3895844242791
Assault,07/01/2015,20:15,12.945278,77.595524,2015-01-07 00:00:00,20:15:00,2015-01-07 20:15:00,20,2,7,1,1,0,0,0,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,12.94,77.59,182,2.928585026056685,2,6.0,7.199999999999999,2,1,2.0,5.302197802197802,37.50830030045823,2.7692307692,0,0.0,364.0,3640,0,533.0024747423166,167.580222497284,6021.065344834576,1004.495629735672
2 wheeler theft,8/1/2015,4:00:00 PM,12.946042,77.593699,2015-01-08 00:00:00,04:00:00,2015-01-08 04:00:00,4,3,8,1,1,0,0,0,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12.94,77.59,182,2.8435965810586237,0,2.0,3.0,3,0,3.0,5.476648351648352,15.628458458524264,2.7692307692,0,5.476648351648352,546.0,728,0,517.5345777526695,167.60000346576402,6020.782124502601,1004.5312861893581
2 wheeler theft,8/1/2015,7:30:00 PM,12.919414,77.585452,2015-01-08 00:00:00,07:30:00,2015-01-08 07:30:00,7,3,8,1,1,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12.91,77.58,234,5.886891464311335,0,2.0,1.6,3,0,0.0,2.1965811965811968,8.735336822630655,2.3285714286,0,0.0,0.0,1638,0,1377.5326026488524,166.911258103396,6019.502362044304,1002.3585747651281
Ordinary Theft,08/01/2015,9:30,12.942789,77.596405,2015-01-08 00:00:00,09:30:00,2015-01-08 09:30:00,9,3,8,1,1,0,1,0,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12.94,77.59,182,3.2096024966926207,7,2.0,1.6,4,0,3.0,4.781318681318682,8.335177844546275,2.7692307692,0,0.0,546.0,1638,0,584.1476543980569,167.51578709852097,6021.202068924025,1004.313897073545
4 Wheeler Theft,8/1/2015,10:55,12.9013564,77.5897255,2015-01-08 00:00:00,10:55:00,2015-01-08 10:55:00,10,3,8,1,1,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12.9,77.58,144,7.8285755351896595,1,2.0,1.6,0,0,0.0,2.7708333333333335,7.962773987872919,1.6279069767,0,0.0,0.0,1440,0,1127.314877067311,166.44499695982094,6020.16550316535,1001.0127016536682
Assault,08/01/2015,14:00,12.911758,77.572653,2015-01-08 00:00:00,14:00:00,2015-01-08 14:00:00,14,3,8,1,1,0,0,1,0,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12.91,77.57000000000001,206,7.066414603719452,2,6.0,6.0,0,1,0.0,2.825242718446602,31.996312759592215,2.4764097241473597,0,0.0,0.0,2884,0,1455.681408366207,166.71349465056403,6017.516493458409,1001.5993229539741
Ordinary Theft,08/01/15,19:00,12.96046307,77.57137206,2015-01-08 00:00:00,19:00:00,2015-01-08 19:00:00,19,3,8,1,1,0,0,0,1,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12.96,77.57000000000001,72,2.8051248578948713,7,2.0,2.4,1,0,0.0,2.423611111111111,10.297102658756138,2.4764097241473597,0,0.0,0.0,1368,0,201.96898976843073,167.97360298883382,6017.3177632709485,1005.3609028728598
Kidnap,9/1/2015,5:00,12.90353394,77.54124559,2015-01-09 00:00:00,05:00:00,2015-01-09 05:00:00,5,4,9,1,1,0,0,0,0,1,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.9,77.54,114,9.524536322669908,5,2.0,3.0,0,0,0.0,3.4473684210526314,14.234796385089751,2.5982142857,0,3.4473684210526314,0.0,570,0,1085.7971407843695,166.50118814073195,6012.644767648695,1000.5560942204404
2 wheeler theft,9/1/2015,10:30:00 AM,12.946392,77.594947,2015-01-09 00:00:00,10:30:00,2015-01-09 10:30:00,10,4,9,1,1,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.94,77.59,182,2.803253912046667,0,2.0,1.6,5,0,3.0,4.317765567765568,8.335177844546275,2.7692307692,0,0.0,546.0,1820,0,510.19221199249336,167.60906581766397,6020.975799932809,1004.574601081224
2 wheeler theft,9/1/2015,12:30:00 PM,12.92877,77.57807,2015-01-09 00:00:00,12:30:00,2015-01-09 12:30:00,12,4,9,1,1,0,0,1,0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.92,77.57000000000001,108,5.088218290921624,0,2.0,2.0,2,0,0.0,2.141975308641975,9.382695764458287,2.4764097241473597,0,0.0,0.0,1296,0,549.5275754195354,167.15309371290002,6018.3569449249,1002.9890240738999
2 wheeler theft,9/1/2015,12:30:00 PM,12.9532178,77.5777217,2015-01-09 00:00:00,12:30:00,2015-01-09 12:30:00,12,4,9,1,1,0,0,1,0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.950000000000001,77.57000000000001,276,2.7428172943060893,0,2.0,2.0,2,0,0.0,2.3031400966183573,11.248035012374677,2.4764097241473597,0,0.0,0.0,3312,0,757.0175732284806,167.7858513742368,6018.3029041626505,1004.8811256078861
Ordinary Theft,9/1/2015,15:00,12.8966729945995,77.5607513795297,2015-01-09 00:00:00,15:00:00,2015-01-09 15:00:00,15,4,9,1,1,0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.89,77.56,173,9.103315989734341,7,2.0,2.0,2,0,1.0,5.105973025048169,10.318110598429058,2.5303030303,0,0.0,173.0,2595,0,1574.873666224041,166.32417432963203,6015.670154557219,1000.2756477572267
Robbery,9/1/2015,15:15,12.914562,77.58467,2015-01-09 00:00:00,15:15:00,2015-01-09 15:15:00,15,4,9,1,1,0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.91,77.58,234,6.432981116507851,9,7.0,7.0,4,1,0.0,2.1572649572649576,38.21709859900911,2.3285714286,0,0.0,0.0,3510,0,1505.3175812628372,166.785911651844,6019.381019008901,1001.9720309645401
2 wheeler theft,10/1/2015,4:30:00 PM,12.915668,77.569861,2015-01-10 00:00:00,04:30:00,2015-01-10 04:30:00,4,5,10,1,1,1,0,0,0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.91,77.56,224,6.7725836353608795,0,2.0,3.0,0,0,0.0,3.861607142857143,16.24830120661326,3.1150793651,0,3.861607142857143,0.0,896,1,1517.058734320837,166.814479886224,6017.083335559321,1001.8665714821481
2 wheeler theft,10/1/2015,4:30:00 PM,12.9446676,77.592128,2015-01-10 00:00:00,04:30:00,2015-01-10 04:30:00,4,5,10,1,1,1,0,0,0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.94,77.59,182,3.006702765194235,0,2.0,3.0,6,0,3.0,3.9866562009419155,15.628458458524264,2.7692307692,0,3.9866562009419155,546.0,728,1,547.2199032653507,167.56441927448978,6020.538327568384,1004.4043053366529
2 wheeler theft,10/1/2015,9:45:00 PM,12.89964065,77.54399956,2015-01-10 00:00:00,09:45:00,2015-01-10 09:45:00,9,5,10,1,1,1,1,0,0,0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.89,77.54,52,9.70028136133276,0,2.0,1.6,1,0,0.0,2.9038461538461537,6.352467061683395,2.6142857143,0,0.0,0.0,468,0,504.4146307893035,166.40072889913242,6013.07186776128,1000.2897288877582
2 wheeler theft,10/1/2015,10:15:00 AM,12.9026072787272,77.5614887435773,2015-01-10 00:00:00,10:15:00,2015-01-10 10:15:00,10,5,10,1,1,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.9,77.56,199,8.469374060741798,0,2.0,1.6,0,0,0.0,3.1055276381909547,8.477307786476858,2.5505617978,0,0.0,0.0,1990,0,1685.4054380876178,166.4772745890641,6015.784536120068,1000.7454292117982
Chain Snatching,10/1/2015,12:30,12.93965,77.55687,2015-01-10 00:00:00,12:30:00,2015-01-10 12:30:00,12,5,10,1,1,1,0,1,0,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,12.93,77.55,157,5.416462148830346,4,2.0,2.0,2,0,0.0,2.367303609341826,10.125190066053934,2.1973684211,0,0.0,0.0,1884,0,850.3845573663643,167.4345421225,6015.068084196901,1003.5587528955001
